id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
252,"1,2",Sector Grama Conjuntos Y Edificios,4.1628,-73.6383,5.2,6000,6000,12000,23
253,CONJUNTO PRADROS DE SAN,Sector Grama Conjuntos Y Edificios,4.1618,-73.645,5.2,6000,6000,12000,23
254,FRANCISCO,Sector Grama Conjuntos Y Edificios,4.1574,-73.6392,5.2,6000,6000,12000,23
255,Página 528,Sector Grama Conjuntos Y Edificios,4.1591,-73.6431,5.2,6000,6000,12000,23
256,"SAN ANGEL 1,2",Sector Grama Conjuntos Y Edificios,4.1555,-73.6367,5.9,6000,7000,13000,24
257,"LOS CAMBULOS 1,2,3",Sector Grama Conjuntos Y Edificios,4.1593,-73.6369,5.9,6000,7000,13000,24
258,PANORAMA DEL CAMPO,Sector Grama Conjuntos Y Edificios,4.161,-73.6368,5.9,6000,7000,13000,24
259,LA ARENERA,Sector Caudal,4.1606,-73.6374,4.5,6000,5000,11000,21
260,CAUDAL,Sector Caudal,4.1595,-73.638,4.5,6000,5000,11000,21
261,CONJUNTO TRIANGULO,Sector Caudal,4.1621,-73.6388,4.5,6000,5000,11000,21
262,EDIFICIO MONTEBELLO,Sector Caudal,4.164,-73.6412,4.5,6000,5000,11000,21
263,"TORRES DEL CAUDAL 1,2",Sector Caudal,4.1595,-73.638,4.5,6000,5000,11000,21
264,TERRAZAS DEL LLANO,Sector Caudal,4.1639,-73.6342,4.5,6000,5000,11000,21
265,TORRRES CLUB,Sector Caudal,4.1643,-73.6356,4.5,6000,5000,11000,21
266,CLUB META,Sector Caudal,4.1628,-73.6429,4.5,6000,5000,11000,21
267,EDIFICIO PLAZA,Sector Caudal,4.1594,-73.6352,4.5,6000,5000,11000,21
268,ALAMEDA ORIENTAL CAUDAL,Sector Caudal,4.1595,-73.638,4.5,6000,5000,11000,21
269,EDIFICIO COSTA BELLA CAUDAL,Sector Caudal,4.1595,-73.638,4.5,6000,5000,11000,21
270,ALTO,Sector Caudal,4.1435,-73.6375,4.5,6000,5000,11000,21
271,EDIDIFICIO AGORA,Sector Caudal,4.1635,-73.6359,4.5,6000,5000,11000,21
272,CONJUNTO ARAGUANEY CAUDAL,Sector Este Kirpas,4.1595,-73.638,7.3,6000,9000,15000,28
273,HOTEL DEL LLANO,Sector Este Kirpas,4.1354,-73.6028,7.3,6000,9000,15000,28
