id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
104,CATATUMBO,Sector Medio,4.1464,-73.6336,8.0,6000,10000,16000,30
105,RETIRO,Sector Medio,4.1448,-73.6327,8.0,6000,10000,16000,30
106,BUENOS AIRES,Sector Medio,4.1442,-73.6359,8.0,6000,10000,16000,30
107,REMANSO,Sector Medio,4.1499,-73.6353,8.0,6000,10000,16000,30
108,VIZCAYA,Sector Medio,4.1522,-73.6291,8.0,6000,10000,16000,30
109,HOTEL HACARITAMA,Sector Medio,4.1456,-73.6338,8.0,6000,10000,16000,30
110,CANCHA RACING,Sector Medio,4.1443,-73.6308,8.0,6000,10000,16000,30
111,HACARITAMA,Sector Medio,4.1447,-73.6386,8.0,6000,10000,16000,30
112,BARRIO PRIMAVERA,Sector Medio,4.1479,-73.636,8.0,6000,10000,16000,30
113,PARQUE PRIMAVERA,Sector Medio,4.1524,-73.6305,8.0,6000,10000,16000,30
114,CIUDADELA EL DIVINO NIÑO,Sector Medio,4.1497,-73.6292,8.0,6000,10000,16000,30
115,LAS FERIAS,Sector Medio,4.148,-73.6314,8.0,6000,10000,16000,30
116,GAITAN,Sector Medio,4.1456,-73.6352,8.0,6000,10000,16000,30
117,SAN GREGORIO,Sector Medio,4.1477,-73.6329,8.0,6000,10000,16000,30
118,Página 738,Conjuntos Y Condoninios Medio,4.1449,-73.6376,8.0,6000,10000,16000,30
119,MAIZARO,Conjuntos Y Condoninios Medio,4.1517,-73.6326,8.0,6000,10000,16000,30
120,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Medio,4.1457,-73.6331,8.0,6000,10000,16000,30
121,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Medio,4.1505,-73.6373,8.0,6000,10000,16000,30
122,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Medio,4.1455,-73.631,8.0,6000,10000,16000,30
123,CONDOMINIO BOSQUES DE,Conjuntos Y Condoninios Medio,4.15,-73.6318,8.0,6000,10000,16000,30
124,CONDOMINIO PORTAL DEL,Conjuntos Y Condoninios Medio,4.1473,-73.6353,8.0,6000,10000,16000,30
125,MOLINO,Conjuntos Y Condoninios Medio,4.145,-73.6307,8.0,6000,10000,16000,30
126,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Medio,4.1519,-73.6384,8.0,6000,10000,16000,30
127,"CONJUNTO LOS ALMENDROS 1,2",Conjuntos Y Condoninios Medio,4.149,-73.6334,8.0,6000,10000,16000,30
128,CAMINOS DE SEVILLA,Conjuntos Y Condoninios Medio,4.1438,-73.6372,8.0,6000,10000,16000,30
129,LLANO HERMOSO,Conjuntos Y Condoninios Medio,4.1515,-73.6327,8.0,6000,10000,16000,30
130,"CONJUNTO BONNANZA 1,2",Conjuntos Y Condoninios Medio,4.1492,-73.637,8.0,6000,10000,16000,30
131,RINCON DEL LLANO,Conjuntos Y Condoninios Medio,4.1515,-73.6387,8.0,6000,10000,16000,30
132,TORRES DEL MEDITERRENO,Conjuntos Y Condoninios Medio,4.1503,-73.6362,8.0,6000,10000,16000,30
133,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,8.7,6000,11000,17000,31
134,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,8.7,6000,11000,17000,31
135,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,8.7,6000,11000,17000,31
136,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,8.7,6000,11000,17000,31
137,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,8.7,6000,11000,17000,31
138,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,8.7,6000,11000,17000,31
139,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,8.7,6000,11000,17000,31
140,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,8.7,6000,11000,17000,31
141,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,8.7,6000,11000,17000,31
142,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,8.7,6000,11000,17000,31
143,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,8.7,6000,11000,17000,31
144,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,8.7,6000,11000,17000,31
145,"NUEVA ESPERANZA 1,2",Sector Terminal,4.1278,-73.6305,8.7,6000,11000,17000,31
146,CONDOMINIO SIENDA MANOY,Sector Terminal,4.1282,-73.6275,8.7,6000,11000,17000,31
147,QUINTAS DE SANTA CLARA,Sector Terminal,4.1244,-73.6307,8.7,6000,11000,17000,31
148,BARRIO VILLA DEL ALCARABAN,Sector Terminal,4.1312,-73.6332,8.7,6000,11000,17000,31
149,URBANIZACION CALATRABA,Sector Terminal,4.1237,-73.6323,8.7,6000,11000,17000,31
